"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","Industry","Exchange","mailingaddress","businessaddress","url"
"ABUS","Arbutus Biopharma Corporation",4.34,"$240.45M",NA,"Health Care","Major Pharmaceuticals","NASDAQ","100-8900 GLENLYON PARKWAY,,BURNABY A1 V5J 5J8","100-8900 GLENLYON PARKWAY,,BURNABY A1 V5J 5J8,604-419-3200","https://www.sec.gov//Archives/edgar/data/1447028/000162828018003276/arbutus10k2017.htm"
"ACAD","ACADIA Pharmaceuticals Inc.",22.21,"$2.78B",1985,"Health Care","Major Pharmaceuticals","NASDAQ","3611 VALLEY CENTRE DRIVE,SUITE 300,,SAN DIEGO CA 92130","3611 VALLEY CENTRE DRIVE,SUITE 300,,SAN DIEGO CA 92130,858-558-2871","https://www.sec.gov//Archives/edgar/data/1070494/000156459018003526/acad-10k_20171231.htm"
"ACBI","Atlantic Capital Bancshares, Inc.",15.65,"$408.53M",NA,"Finance","Major Banks","NASDAQ","RESURGENS PLAZA,945 EAST PACES FERRY ROAD NE, STE 1600,,ATLANTA GA 30326","RESURGENS PLAZA,945 EAST PACES FERRY ROAD NE, STE 1600,,ATLANTA GA 30326,4049956050","https://www.sec.gov//Archives/edgar/data/1461755/000146175518000020/a20171231-10k.htm"
"ACER","Acer Therapeutics Inc.",25.3,"$254.34M",NA,"Health Care","Major Pharmaceuticals","NASDAQ","ONE GATEWAY CENTER (300 WASHINGTON ST.),SUITE 351,,NEWTON MA 02458","ONE GATEWAY CENTER (300 WASHINGTON ST.),SUITE 351,,NEWTON MA 02458,(844) 902-6100","https://www.sec.gov//Archives/edgar/data/1069308/000156459018004714/acer-10k_20171231.htm"
"ACET","Aceto Corporation",2.15,"$66.19M",NA,"Health Care","Other Pharmaceuticals","NASDAQ","4 TRI HARBOR COURT,,PORT WASHINGTON NY 11050","4 TRI HARBOR COURT,,PORT WASHINGTON NY 11050,5166276000","https://www.sec.gov//Archives/edgar/data/2034/000114420418051414/tv501271_10k.htm"
"ACGL","Arch Capital Group Ltd.",27.71,"$11.23B",NA,"Finance","Property-Casualty Insurers","NASDAQ","WATERLOO HOUSE, GROUND FLOOR,100 PITTS BAY ROAD,,PEMBROKE D0 HM 08","WATERLOO HOUSE, GROUND FLOOR,100 PITTS BAY ROAD,,PEMBROKE D0 HM 08,441-278-9250","https://www.sec.gov//Archives/edgar/data/947484/000094748418000012/a201710-k.htm"
"ACHC","Acadia Healthcare Company, Inc.",38.4,"$3.39B",NA,"Health Care","Medical Specialities","NASDAQ","6100 TOWER CIRCLE,SUITE 1000,,FRANKLIN TN 37067","6100 TOWER CIRCLE,SUITE 1000,,FRANKLIN TN 37067,615-861-6000","https://www.sec.gov//Archives/edgar/data/1520697/000119312518061152/d431698d10k.htm"
"ACHV","Achieve Life Sciences, Inc. ",2.43,"$11.06M",NA,"Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","NASDAQ","520 PIKE STREET,SUITE 2250,,SEATTLE WA 98101","520 PIKE STREET,SUITE 2250,,SEATTLE WA 98101,425-686-1500","https://www.sec.gov//Archives/edgar/data/949858/000156459018004159/achv-10k_20171231.htm"
"ACIA","Acacia Communications, Inc.",37.73,"$1.53B",2016,"Technology","Semiconductors","NASDAQ","THREE MILL AND MAIN PLACE,SUITE 400,,MAYNARD MA 01754","THREE MILL AND MAIN PLACE,SUITE 400,,MAYNARD MA 01754,978-938-4896","https://www.sec.gov//Archives/edgar/data/1651235/000165123518000045/acia1231201710k.htm"
"ACIW","ACI Worldwide, Inc.",25.94,"$3B",NA,"Technology","Computer Software: Prepackaged Software","NASDAQ","3520 KRAFT ROAD, SUITE 300,,NAPLES FL 34105","3520 KRAFT ROAD, SUITE 300,,NAPLES FL 34105,239-403-4600","https://www.sec.gov//Archives/edgar/data/935036/000119312518060188/d527277d10k.htm"
"ACLS","Axcelis Technologies, Inc.",18.12,"$586.28M",2000,"Technology","Industrial Machinery/Components","NASDAQ","108 CHERRY HILL DRIVE,,BEVERLY MA 01915","108 CHERRY HILL DRIVE,,BEVERLY MA 01915,978-787-4000","https://www.sec.gov//Archives/edgar/data/1113232/000155837018002060/acls-20171231x10k.htm"
"ACNB","ACNB Corporation",36.95,"$260.08M",NA,"Finance","Major Banks","NASDAQ","P O BOX 3129,16 LINCOLN SQUARE,,GETTYSBURG PA 17325","16 LINCOLN SQUARE,P O BOX 3129,,GETTYSBURG PA 17325,7173343161","https://www.sec.gov//Archives/edgar/data/715579/000104746918001446/a2234119z10-k.htm"
"ACOR","Acorda Therapeutics, Inc.",17.86,"$848.06M",2006,"Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","NASDAQ","420 SAW MILL RIVER ROAD,,ARDSLEY NY 10502","420 SAW MILL RIVER ROAD,,ARDSLEY NY 10502,914-347-4300","https://www.sec.gov//Archives/edgar/data/1008848/000156459018003967/acor-10k_20171231.htm"
"ACRS","Aclaris Therapeutics, Inc.",12.5,"$387.26M",2015,"Health Care","Major Pharmaceuticals","NASDAQ","640 LEE ROAD,SUITE 200,,WAYNE PA 19087","640 LEE ROAD,SUITE 200,,WAYNE PA 19087,484-324-7933","https://www.sec.gov//Archives/edgar/data/1557746/000155837018001866/acrs-20171231x10k.htm"
"ACRX","AcelRx Pharmaceuticals, Inc.",3.63,"$219.98M",2011,"Health Care","Major Pharmaceuticals","NASDAQ","351 GALVESTON DRIVE,,REDWOOD CITY CA 94063","351 GALVESTON DRIVE,,REDWOOD CITY CA 94063,650-216-3500","https://www.sec.gov//Archives/edgar/data/1427925/000143774918004222/acrx20171231_10k.htm"
"ACT","AdvisorShares Vice ETF",26.0417,"$14.32M",NA,NA,NA,"NASDAQ","MORRIS CORPORATE CENTER III,400 INTERPACE PARKWAY,,PARSIPPANY NJ 07054","MORRIS CORPORATE CENTER III,400 INTERPACE PARKWAY,,PARSIPPANY NJ 07054,9092701400","https://www.sec.gov//Archives/edgar/data/884629/000119312513082059/d448020d10k.htm"
"ACTG","Acacia Research Corporation",3.08,"$152.44M",NA,"Miscellaneous","Multi-Sector Companies","NASDAQ","520 NEWPORT CENTER DRIVE,12TH FLOOR,,NEWPORT BEACH CA 92660","520 NEWPORT CENTER DRIVE,12TH FLOOR,,NEWPORT BEACH CA 92660,9494808300","https://www.sec.gov//Archives/edgar/data/934549/000093454918000007/actg2017123110-k.htm"
"ADAP","Adaptimmune Therapeutics plc",10.76,"$1.12B",2015,"Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","NASDAQ","60 JUBILEE AVENUE,MILTON PARK,,ABINGDON, OXFORDSHIRE X0 OX14 4RX","60 JUBILEE AVENUE,MILTON PARK,,ABINGDON, OXFORDSHIRE X0 OX14 4RX,44 1235 430000","https://www.sec.gov//Archives/edgar/data/1621227/000110465918017694/a17-27708_110k.htm"
"ADBE","Adobe Inc.",245.03,"$119.61B",1986,"Technology","Computer Software: Prepackaged Software","NASDAQ","345 PARK AVENUE,,SAN JOSE CA 95110-2704","345 PARK AVE,,SAN JOSE CA 95110-2704,4085366000","https://www.sec.gov//Archives/edgar/data/796343/000079634318000015/adbe10kfy17.htm"
"ADES","Advanced Emissions Solutions, Inc.",10.39,"$208.97M",NA,"Basic Industries","Major Chemicals","NASDAQ","640 PLAZA DRIVE, SUITE 270,,HIGHLANDS RANCH CO 80129","640 PLAZA DRIVE, SUITE 270,,HIGHLANDS RANCH CO 80129,720-598-3500","https://www.sec.gov//Archives/edgar/data/1515156/000151515618000024/ades-20171231x10k.htm"
"ADI","Analog Devices, Inc.",82.335,"$30.6B",NA,"Technology","Semiconductors","NASDAQ","ONE TECHNOLOGY WAY,,NORWOOD MA 02062","ONE TECHNOLOGY WAY,,NORWOOD MA 02062,7813294700","https://www.sec.gov//Archives/edgar/data/6281/000000628117000144/adi-10282017x10k.htm"
"ADMS","Adamas Pharmaceuticals, Inc.",17.85,"$485.35M",2014,"Health Care","Major Pharmaceuticals","NASDAQ","1900 POWELL ST., SUITE 1000,,EMERYVILLE CA 94608","1900 POWELL ST., SUITE 1000,,EMERYVILLE CA 94608,510-450-3554","https://www.sec.gov//Archives/edgar/data/1328143/000162828018002045/adms1231201710k.htm"
"ADOM","ADOMANI, Inc.",0.51,"$36.98M",2017,"Capital Goods","Auto Parts:O.E.M.","NASDAQ","4740 GREEN RIVER ROAD,SUITE 106,,CORONA CA 92880","4740 GREEN RIVER ROAD,SUITE 106,,CORONA CA 92880,(951) 407-9860 X205","https://www.sec.gov//Archives/edgar/data/1563568/000117184318001854/f10k_031218p.htm"
"ADP","Automatic Data Processing, Inc.",143.41,"$62.73B",NA,"Technology","EDP Services","NASDAQ","ONE ADP BOULEVARD,,ROSELAND NJ 07068","ONE ADP BOULVARD,,ROSELAND NJ 07068,9739745000","https://www.sec.gov//Archives/edgar/data/8670/000000867018000011/q4fy1810k.htm"
"ADRO","Aduro Biotech, Inc.",6.28,"$496.5M",2015,"Health Care","Major Pharmaceuticals","NASDAQ","740 HEINZ AVENUE,,BERKELEY CA 94710","740 HEINZ AVENUE,,BERKELEY CA 94710,510-848-4400","https://www.sec.gov//Archives/edgar/data/1435049/000156459018004135/adro-10k_20171231.htm"
"ADTN","ADTRAN, Inc.",13.78,"$657.85M",1994,"Public Utilities","Telecommunications Equipment","NASDAQ","901 EXPLORER BLVD,,HUNTSVILLE AL 35806","901 EXPLORER BLVD,,HUNTSVILLE AL 35806,2569638220","https://www.sec.gov//Archives/edgar/data/926282/000156459018003019/adtn-10k_20171231.htm"
"ADVM","Adverum Biotechnologies, Inc.",4.49,"$281.5M",2014,"Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","NASDAQ","1035 O'BRIEN DRIVE,,MENLO PARK CA 94025","1035 O'BRIEN DRIVE,,MENLO PARK CA 94025,650-272-6269","https://www.sec.gov//Archives/edgar/data/1501756/000156459018004560/advm-10k_20171231.htm"
"AEGN","Aegion Corp",23.57,"$761.57M",NA,"Basic Industries","Water Supply","NASDAQ","17988 EDISON AVENUE,,CHESTERFIELD MO 63005","17988 EDISON AVENUE,,CHESTERFIELD MO 63005,6365308000","https://www.sec.gov//Archives/edgar/data/353020/000035302018000017/a10k-12312017q4.htm"
"AEMD","Aethlon Medical, Inc.",1.06,"$18.87M",NA,"Capital Goods","Biotechnology: Laboratory Analytical Instruments","NASDAQ","9635 GRANITE RIDGE DRIVE, SUITE 100,,SAN DIEGO CA 92123","9635 GRANITE RIDGE DRIVE, SUITE 100,,SAN DIEGO CA 92123,858-459-7800","https://www.sec.gov//Archives/edgar/data/882291/000168316818001643/aethlon_10k-033118.htm"
"AETI","American Electric Technologies, Inc.",0.6806,"$6.07M",NA,"Energy","Industrial Machinery/Components","NASDAQ","1250 WOOD BRANCH PARK DR STE 600,,HOUSTON TX 77079","1250 WOOD BRANCH PARK DR STE 600,,HOUSTON TX 77079,713-644-8182","https://www.sec.gov//Archives/edgar/data/1043186/000156459018007087/aeti-10k_20171231.htm"
"AFH","Atlas Financial Holdings, Inc.",9.63,"$114.95M",2013,"Finance","Property-Casualty Insurers","NASDAQ","953 AMERICAN LANE, 3RD FLOOR,,SCHAUMBURG IL 60173","953 AMERICAN LANE, 3RD FLOOR,,SCHAUMBURG IL 60173,847-472-6700","https://www.sec.gov//Archives/edgar/data/1539894/000153989418000025/atlas2017form10k.htm"
"AFIN","American Finance Trust, Inc.",14.09,"$1.5B",NA,"Consumer Services","Real Estate Investment Trusts","NASDAQ","405 PARK AVENUE,,NEW YORK NY 10022","405 PARK AVENUE,,NEW YORK NY 10022,212-415-6500","https://www.sec.gov//Archives/edgar/data/1568162/000156816218000005/afin1231201710-k.htm"
"AGEN","Agenus Inc.",1.96,"$222.03M",2000,"Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","NASDAQ","3 FORBES ROAD,,LEXINGTON MA 02421","3 FORBES ROAD,,LEXINGTON MA 02421,781-674-4410","https://www.sec.gov//Archives/edgar/data/1098972/000156459018006093/agen-10k_20171231.htm"
"AGFS","AgroFresh Solutions, Inc.",5.57,"$281.21M",2014,"Finance","Business Services","NASDAQ","100 S. INDEPENDENCE MALL WEST,,PHILADELPHIA PA 19106","100 S. INDEPENDENCE MALL WEST,,PHILADELPHIA PA 19106,215-592-3687","https://www.sec.gov//Archives/edgar/data/1592016/000159201618000006/agfs-2017x10k.htm"
"AGIO","Agios Pharmaceuticals, Inc.",66.88,"$3.88B",2013,"Health Care","Major Pharmaceuticals","NASDAQ","88 SIDNEY STREET,,CAMBRIDGE MA 02139","88 SIDNEY STREET,,CAMBRIDGE MA 02139,617-649-8600","https://www.sec.gov//Archives/edgar/data/1439222/000143922218000004/agio-123117x10k.htm"
"AGLE","Aeglea BioTherapeutics, Inc.",9.3,"$204.55M",2016,"Health Care","Major Pharmaceuticals","NASDAQ","901 S. MOPAC EXPRESSWAY, STE. 250,BARTON OAKS PLAZA ONE,,AUSTIN TX 78746","901 S. MOPAC EXPRESSWAY, STE. 250,BARTON OAKS PLAZA ONE,,AUSTIN TX 78746,(512) 942-2935","https://www.sec.gov//Archives/edgar/data/1636282/000156459018005404/agle-10k_20171231.htm"
"AGNC","AGNC Investment Corp.",17.82,"$8.51B",2008,"Consumer Services","Real Estate Investment Trusts","NASDAQ","2 BETHESDA METRO CENTER 12TH FLOOR,,BETHESDA MD 20814","2 BETHESDA METRO CENTER 12TH FLOOR,,BETHESDA MD 20814,301 968 9300","https://www.sec.gov//Archives/edgar/data/1423689/000142368918000007/agnc10k123117.htm"
"AGRX","Agile Therapeutics, Inc.",0.9552,"$32.84M",2014,"Health Care","Major Pharmaceuticals","NASDAQ","101 POOR FARM ROAD,,PRINCETON NJ 08540-1715","101 POOR FARM ROAD,,PRINCETON NJ 08540-1715,609-683-1880","https://www.sec.gov//Archives/edgar/data/1261249/000104746918001539/a2234770z10-k.htm"
"AGYS","Agilysys, Inc.",15.52,"$365.12M",NA,"Technology","EDP Services","NASDAQ","1000 WINDWARD CONCOURSE,SUITE 250,,ALPHARETTA 2Q 30005","1000 WINDWARD CONCOURSE,SUITE 250,,ALPHARETTA 2Q 30005,7708107800","https://www.sec.gov//Archives/edgar/data/78749/000007874918000022/agys-3312018x10k.htm"
"AHPI","Allied Healthcare Products, Inc.",2.01,"$8.07M",1992,"Health Care","Industrial Specialties","NASDAQ","1720 SUBLETTE AVENUE,,ST LOUIS MO 63110","1720 SUBLETTE AVE,,ST LOUIS MO 63110,3147712400","https://www.sec.gov//Archives/edgar/data/874710/000114420418051429/tv503179_10k.htm"
"AIHS","Senmiao Technology Limited",4.16,"$107.66M",2018,"Finance","Finance: Consumer Services","NASDAQ","16F, SHIHAO SQUARE, MIDDLE JIANNAN BLVD.,HIGH TECH ZONE,,CHENGDU, SICHUAN F4 610000","16F, SHIHAO SQUARE, MIDDLE JIANNAN BLVD.,HIGH TECH ZONE,,CHENGDU, SICHUAN F4 610000,862861554399","https://www.sec.gov//Archives/edgar/data/1711012/000114420418036710/tv497207_10k.htm"
"AIMC","Altra Industrial Motion Corp.",35.6,"$2.29B",2006,"Capital Goods","Industrial Machinery/Components","NASDAQ","300 GRANITE STREET,SUITE 201,,BRAINTREE MA 02184","300 GRANITE STREET,SUITE 201,,BRAINTREE MA 02184,781-917-0600","https://www.sec.gov//Archives/edgar/data/1374535/000156459018003056/aimc-10k_20171231.htm"
"AIMT","Aimmune Therapeutics, Inc.",27.29,"$1.6B",2015,"Health Care","Major Pharmaceuticals","NASDAQ","8000 MARINA BOULEVARD,SUITE 300,,BRISBANE CA 94005-1884","8000 MARINA BOULEVARD,SUITE 300,,BRISBANE CA 94005-1884,(650) 614-5220","https://www.sec.gov//Archives/edgar/data/1631650/000156459018002466/aimt-10k_20171231.htm"
"AINV","Apollo Investment Corporation",5.24,"$1.13B",2004,NA,NA,"NASDAQ","1301 AVENUE OF THE AMERICAS,38TH FLOOR,,NEW YORK NY 10019","","https://www.sec.gov//Archives/edgar/data/1278752/000127875218000036/ainv2018q410-k.htm"
"AIPT","Precision Therapeutics Inc.",0.859,"$12.07M",NA,"Health Care","Industrial Specialties","NASDAQ","2915 COMMERS DRIVE,,SUITE 900,,EAGAN MN 55121","2915 COMMERS DRIVE,,SUITE 900,,EAGAN MN 55121,651-389-4800","https://www.sec.gov//Archives/edgar/data/1446159/000117184318002453/f10k_040218p.htm"
"AIQ","Global X Future Analytics Tech ETF",14.31,"$43.65M",NA,NA,NA,"NASDAQ","18201 VON KARMAN AVE,SUITE 600,,IRVINE CA 92612","18201 VON KARMAN AVE,SUITE 600,,IRVINE CA 92612,949-242-5300","https://www.sec.gov//Archives/edgar/data/817135/000156459017004009/aiq-10k_20161231.htm"
"AIRG","Airgain, Inc.",12.55,"$124.15M",2016,"Technology","Radio And Television Broadcasting And Communications Equipment","NASDAQ","3611 VALLEY CENTRE DRIVE,SUITE 150,,SAN DIEGO CA 92130","3611 VALLEY CENTRE DRIVE,SUITE 150,,SAN DIEGO CA 92130,(760) 579-0200","https://www.sec.gov//Archives/edgar/data/1272842/000156459018005821/airg-10k_20171231.htm"
"AIRT","Air T, Inc.",40.3005,"$82.36M",NA,"Transportation","Air Freight/Delivery Services","NASDAQ","P O BOX 488,,DENVER NC 28037","3524 AIRPORT RD,,MAIDEN NC 28650,7043772109","https://www.sec.gov//Archives/edgar/data/353184/000143774918012675/airt20180331_10k.htm"
"AKAM","Akamai Technologies, Inc.",64.24,"$10.89B",1999,"Miscellaneous","Business Services","NASDAQ","150 BROADWAY,,CAMBRIDGE MA 02142","150 BROADWAY,,CAMBRIDGE MA 02142,6174443000","https://www.sec.gov//Archives/edgar/data/1086222/000108622218000052/akam10k123117.htm"
"AKAO","Achaogen, Inc.",4,"$180.84M",2014,"Health Care","Major Pharmaceuticals","NASDAQ","1 TOWER PLACE,SUITE 300,,SOUTH SAN FRANCISCO CA 94080","1 TOWER PLACE,SUITE 300,,SOUTH SAN FRANCISCO CA 94080,650-800-3636","https://www.sec.gov//Archives/edgar/data/1301501/000156459018003544/akao-10k_20171231.htm"
"AKBA","Akebia Therapeutics, Inc.",8.62,"$491.74M",2014,"Health Care","Major Pharmaceuticals","NASDAQ","245 FIRST STREET,,CAMBRIDGE MA 02142","245 FIRST STREET,,CAMBRIDGE MA 02142,617-871-2098","https://www.sec.gov//Archives/edgar/data/1517022/000156459018005286/akba-10k_20171231.htm"
"AKRX","Akorn, Inc.",7.03,"$881.92M",NA,"Health Care","Major Pharmaceuticals","NASDAQ","1925 W. FIELD COURT, SUITE 300,,LAKE FOREST IL 60045","1925 W. FIELD COURT, SUITE 300,,LAKE FOREST IL 60045,847-279-6100","https://www.sec.gov//Archives/edgar/data/3116/000162828018002518/akorn10k12312017.htm"
"AKTX","Akari Therapeutics Plc",1.92,"$29.29M",NA,"Health Care","Major Pharmaceuticals","NASDAQ","24 WEST 40TH STREET,8TH FLOOR,,NEW YORK NY 10018","24 WEST 40TH STREET,8TH FLOOR,,NEW YORK NY 10018,(646) 350-0702","https://www.sec.gov//Archives/edgar/data/1541157/000114420416089697/v434647_10k.htm"
"ALBO","Albireo Pharma, Inc.",27.62,"$330.61M",NA,"Health Care","Major Pharmaceuticals","NASDAQ","10 POST OFFICE SQUARE,SUITE 502 SOUTH,,BOSTON MA 02109","10 POST OFFICE SQUARE,SUITE 502 SOUTH,,BOSTON MA 02109,857-415-4774","https://www.sec.gov//Archives/edgar/data/1322505/000156459018006847/albo-10k_20171231.htm"
"ALCO","Alico, Inc.",33.46,"$274.37M",NA,"Consumer Non-Durables","Farming/Seeds/Milling","NASDAQ","10070 DANIELS INTERSTATE COURT STE. 100,,FT. MYERS, FL 33913","10070 DANIELS INTERSTATE COURT STE. 100,,FT. MYERS, FL 33913,239-226-2000","https://www.sec.gov//Archives/edgar/data/3545/000000354517000091/alco-93017x10k.htm"
"ALGN","Align Technology, Inc.",312.79,"$25.12B",2001,"Health Care","Industrial Specialties","NASDAQ","2820 ORCHARD PARKWAY,,SAN JOSE CA 95134","2820 ORCHARD PARKWAY,,SAN JOSE CA 95134,408-470-1000","https://www.sec.gov//Archives/edgar/data/1097149/000109714918000010/algn-20171231x10k.htm"
"ALGT","Allegiant Travel Company",119.96,"$1.94B",2006,"Transportation","Air Freight/Delivery Services","NASDAQ","1201 N. TOWN CENTER DRIVE,,LAS VEGAS NV 89144","1201 N. TOWN CENTER DRIVE,,LAS VEGAS NV 89144,702-851-7300","https://www.sec.gov//Archives/edgar/data/1362468/000136246818000008/algt201710kdoc.htm"
"ALIM","Alimera Sciences, Inc.",0.96,"$67.24M",2010,"Health Care","Major Pharmaceuticals","NASDAQ","6120 WINDWARD PARKWAY,STE 290,,ALPHARETTA GA 30005","6120 WINDWARD PARKWAY,STE 290,,ALPHARETTA GA 30005,6789905740","https://www.sec.gov//Archives/edgar/data/1267602/000126760218000047/alim-10k.htm"
"ALKS","Alkermes plc",40.16,"$6.24B",1991,"Health Care","Major Pharmaceuticals","NASDAQ","CONNAUGHT HOUSE,1 BURLINGTON ROAD,,DUBLIN 4 L2 00000","CONNAUGHT HOUSE,1 BURLINGTON ROAD,,DUBLIN 4 L2 00000,00-353-1-772-8000","https://www.sec.gov//Archives/edgar/data/1520262/000152026218000016/alks-20171231x10k.htm"
"ALNA","Allena Pharmaceuticals, Inc.",10.31,"$213.95M",2017,"Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","NASDAQ","ONE NEWTON EXECUTIVE PARK,SUITE 202,,NEWTON MA 02462","ONE NEWTON EXECUTIVE PARK,SUITE 202,,NEWTON MA 02462,617-467-4577","https://www.sec.gov//Archives/edgar/data/1624658/000156459018006811/alna-10k_20171231.htm"
"ALNY","Alnylam Pharmaceuticals, Inc.",76.65,"$7.72B",2004,"Health Care","Major Pharmaceuticals","NASDAQ","300 THIRD STREET,,CAMBRIDGE MA 02142","300 THIRD STREET,,CAMBRIDGE MA 02142,(617) 551-8200","https://www.sec.gov//Archives/edgar/data/1178670/000156459018002152/alny-10k_20171231.htm"
"ALPN","Alpine Immune Sciences, Inc.",5.01,"$69.39M",2015,"Health Care","Major Pharmaceuticals","NASDAQ","201 ELLIOTT AVE. WEST, SUITE 230,,SEATTLE WA 98119","201 ELLIOTT AVE. WEST, SUITE 230,,SEATTLE WA 98119,206-788-4545","https://www.sec.gov//Archives/edgar/data/1626199/000156459018006916/alpn-10k_20171231.htm"
"ALQA","Alliqua BioMedical, Inc.",2.04,"$10.21M",NA,"Health Care","Medical/Dental Instruments","NASDAQ","1010 STONY HILL ROAD,SUITE 200,,YARDLEY PA 19067","1010 STONY HILL ROAD,SUITE 200,,YARDLEY PA 19067,215-702-8550","https://www.sec.gov//Archives/edgar/data/1054274/000114420418012566/tv486955_10k.htm"
